Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
2.0208e-02,0.0330906
2.0240e-02,0.0340375
2.0272e-02,0.0327281
2.0304e-02,0.0322344
2.0336e-02,0.0324719
2.0368e-02,0.031975
2.0400e-02,0.0306
2.0432e-02,0.0304125
2.0464e-02,0.0300875
2.0496e-02,0.0306687
2.0528e-02,0.0304937
2.0560e-02,0.03075
2.0592e-02,0.0306969
2.0624e-02,0.0300937
2.0656e-02,0.0303281
2.0688e-02,0.029975
2.0720e-02,0.0296969
2.0752e-02,0.0296094
2.0784e-02,0.0309156
2.0816e-02,0.0309437
2.0848e-02,0.0309156
2.0880e-02,0.0305031
2.0912e-02,0.0303656
2.0944e-02,0.0309656
2.0976e-02,0.0311781
2.1008e-02,0.0303906
2.1040e-02,0.0301594
2.1072e-02,0.030225
2.1104e-02,0.03065
2.1136e-02,0.0315719
2.1168e-02,0.0307531
2.1200e-02,0.0301656
2.1232e-02,0.0298594
2.1264e-02,0.0305219
2.1296e-02,0.031025
2.1328e-02,0.0308219
2.1360e-02,0.030825
2.1392e-02,0.0302656
2.1424e-02,0.0297375
2.1456e-02,0.0297875
2.1488e-02,0.0289969
2.1520e-02,0.0294375
2.1552e-02,0.0293312
2.1584e-02,0.0293219
2.1616e-02,0.029275
2.1648e-02,0.0294719
2.1680e-02,0.0301
2.1712e-02,0.030525
2.1744e-02,0.0307625
2.1776e-02,0.0306656
2.1808e-02,0.0312
2.1840e-02,0.0308312
2.1872e-02,0.0301281
2.1904e-02,0.0309844
2.1936e-02,0.0317406
2.1968e-02,0.0314594
2.2000e-02,0.0308312
2.2032e-02,0.0314094
2.2064e-02,0.0313
2.2096e-02,0.0313437
2.2128e-02,0.0317187
2.2160e-02,0.0315219
2.2192e-02,0.0322625
2.2224e-02,0.0327562
2.2256e-02,0.0320594
2.2288e-02,0.0317281
2.2320e-02,0.0318406
2.2352e-02,0.0315312
2.2384e-02,0.0315844
2.2416e-02,0.0320625
2.2448e-02,0.0328
2.2480e-02,0.0333
2.2512e-02,0.0327969
2.2544e-02,0.0320844
2.2576e-02,0.0312312
2.2608e-02,0.0306969
2.2640e-02,0.0307937
2.2672e-02,0.0307937
2.2704e-02,0.0304312
2.2736e-02,0.0296625
2.2768e-02,0.0306219
2.2800e-02,0.0316312
2.2832e-02,0.0317219
2.2864e-02,0.0312906
2.2896e-02,0.0303625
2.2928e-02,0.0300344
2.2960e-02,0.0307031
2.2992e-02,0.0304406
2.3024e-02,0.0298969
2.3056e-02,0.0297187
2.3088e-02,0.0297937
2.3120e-02,0.0295
2.3152e-02,0.0286
2.3184e-02,0.0281031
2.3216e-02,0.0280687
2.3248e-02,0.0284406
2.3280e-02,0.0287031
2.3312e-02,0.0286594
2.3344e-02,0.0288469
2.3376e-02,0.0291187
2.3408e-02,0.0296344
2.3440e-02,0.0289
2.3472e-02,0.0291469
2.3504e-02,0.0295687
2.3536e-02,0.0297594
2.3568e-02,0.02905
2.3600e-02,0.0281687
2.3632e-02,0.0276812
2.3664e-02,0.0286719
2.3696e-02,0.02865
2.3728e-02,0.0285562
2.3760e-02,0.0287375
2.3792e-02,0.0281812
2.3824e-02,0.0276937
2.3856e-02,0.0274781
2.3888e-02,0.0275
2.3920e-02,0.0275531
2.3952e-02,0.0278781
2.3984e-02,0.0283531
2.4016e-02,0.029425
2.4048e-02,0.0295781
2.4080e-02,0.0292687
2.4112e-02,0.0281875
2.4144e-02,0.0280875
2.4176e-02,0.0288469
2.4208e-02,0.0289312
2.4240e-02,0.0285562
2.4272e-02,0.0281687
2.4304e-02,0.0286156
2.4336e-02,0.0286344
2.4368e-02,0.0278875
2.4400e-02,0.0278969
2.4432e-02,0.0279531
2.4464e-02,0.0285562
2.4496e-02,0.0288875
2.4528e-02,0.0290844
2.4560e-02,0.0290187
2.4592e-02,0.0295562
2.4624e-02,0.0296031
2.4656e-02,0.029275
2.4688e-02,0.0292437
2.4720e-02,0.0293156
2.4752e-02,0.0294187
2.4784e-02,0.0295531
2.4816e-02,0.0309062
2.4848e-02,0.0308187
2.4880e-02,0.0303469
2.4912e-02,0.0301906
2.4944e-02,0.0302844
2.4976e-02,0.0298344
2.5008e-02,0.0294406
2.5040e-02,0.0294906
2.5072e-02,0.0298
2.5104e-02,0.0299937
2.5136e-02,0.0314625
2.5168e-02,0.0316969
2.5200e-02,0.0323594
2.5232e-02,0.0322594
2.5264e-02,0.0320812
2.5296e-02,0.03275
2.5328e-02,0.0325469
2.5360e-02,0.0328937
2.5392e-02,0.0327719
2.5424e-02,0.0325094
2.5456e-02,0.0324469
2.5488e-02,0.0312687
2.5520e-02,0.0317219
2.5552e-02,0.032575
2.5584e-02,0.0321375
2.5616e-02,0.0317562
2.5648e-02,0.0321875
2.5680e-02,0.0316031
2.5712e-02,0.0320125
2.5744e-02,0.0319969
2.5776e-02,0.0316437
2.5808e-02,0.0321094
2.5840e-02,0.0327219
2.5872e-02,0.0325469
2.5904e-02,0.0320187
2.5936e-02,0.0315562
2.5968e-02,0.0316687
2.6000e-02,0.0326719
2.6032e-02,0.0336469
2.6064e-02,0.0334031
2.6096e-02,0.0333
2.6128e-02,0.0336062
2.6160e-02,0.0339219
2.6192e-02,0.0341719
2.6224e-02,0.0342531
2.6256e-02,0.0331844
2.6288e-02,0.0324125
2.6320e-02,0.0326812
2.6352e-02,0.0329469
2.6384e-02,0.0330781
2.6416e-02,0.0328594
2.6448e-02,0.0328031
2.6480e-02,0.032875
2.6512e-02,0.0317
2.6544e-02,0.03135
2.6576e-02,0.0310281
2.6608e-02,0.0311344
2.6640e-02,0.0319594
2.6672e-02,0.0331594
2.6704e-02,0.0331375
2.6736e-02,0.0320156
2.6768e-02,0.0324125
2.6800e-02,0.0320469
2.6832e-02,0.0326094
2.6864e-02,0.032775
2.6896e-02,0.0329937
2.6928e-02,0.0338344
2.6960e-02,0.0341969
2.6992e-02,0.03395
2.7024e-02,0.0328375
2.7056e-02,0.032525
2.7088e-02,0.0322781
2.7120e-02,0.0322156
2.7152e-02,0.0334125
2.7184e-02,0.0335844
2.7216e-02,0.0334937
2.7248e-02,0.0329531
2.7280e-02,0.0325281
2.7312e-02,0.03175
2.7344e-02,0.0325344
2.7376e-02,0.0341656
2.7408e-02,0.0342531
2.7440e-02,0.0331719
2.7472e-02,0.0319125
2.7504e-02,0.032225
2.7536e-02,0.0324062
2.7568e-02,0.0330687
2.7600e-02,0.0336344
2.7632e-02,0.0348531
2.7664e-02,0.0341219
2.7696e-02,0.0334937
2.7728e-02,0.0329344
2.7760e-02,0.0332062
2.7792e-02,0.0341437
2.7824e-02,0.0341469
2.7856e-02,0.0346125
2.7888e-02,0.0351812
2.7920e-02,0.0362844
2.7952e-02,0.0385031
2.7984e-02,0.0395187
2.8016e-02,0.0405937
2.8048e-02,0.0413906
2.8080e-02,0.0431094
2.8112e-02,0.0456469
2.8144e-02,0.0477406
2.8176e-02,0.0479812
2.8208e-02,0.0489344
2.8240e-02,0.0508844
2.8272e-02,0.0540562
2.8304e-02,0.0550781
2.8336e-02,0.05475
2.8368e-02,0.0563625
2.8400e-02,0.0578781
2.8432e-02,0.0607531
2.8464e-02,0.0635594
2.8496e-02,0.0653781
2.8528e-02,0.0679156
2.8560e-02,0.0714687
2.8592e-02,0.0739844
2.8624e-02,0.0758531
2.8656e-02,0.0766719
2.8688e-02,0.0783656
2.8720e-02,0.08055
2.8752e-02,0.0820937
2.8784e-02,0.0823594
2.8816e-02,0.0845937
2.8848e-02,0.0852375
2.8880e-02,0.0860156
2.8912e-02,0.0869969
2.8944e-02,0.0878156
2.8976e-02,0.0871562
2.9008e-02,0.0860625
2.9040e-02,0.0848781
2.9072e-02,0.0836656
2.9104e-02,0.0814656
2.9136e-02,0.0816656
2.9168e-02,0.0834219
2.9200e-02,0.0856625
2.9232e-02,0.0841781
2.9264e-02,0.0826781
2.9296e-02,0.0799375
2.9328e-02,0.0779469
2.9360e-02,0.0762656
2.9392e-02,0.073275
2.9424e-02,0.0708781
2.9456e-02,0.0683375
2.9488e-02,0.0674562
2.9520e-02,0.0660594
2.9552e-02,0.0631344
2.9584e-02,0.0598594
2.9616e-02,0.0576031
2.9648e-02,0.0561125
2.9680e-02,0.0539344
