Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
2.0208e-02,0.0155625
2.0240e-02,0.0156156
2.0272e-02,0.0158656
2.0304e-02,0.0159938
2.0336e-02,0.0167281
2.0368e-02,0.0179
2.0400e-02,0.0180469
2.0432e-02,0.0186031
2.0464e-02,0.0182813
2.0496e-02,0.0174906
2.0528e-02,0.0174531
2.0560e-02,0.0186469
2.0592e-02,0.0190656
2.0624e-02,0.0192594
2.0656e-02,0.019125
2.0688e-02,0.01935
2.0720e-02,0.0195781
2.0752e-02,0.0196438
2.0784e-02,0.0204438
2.0816e-02,0.0219906
2.0848e-02,0.0231844
2.0880e-02,0.0236813
2.0912e-02,0.0240625
2.0944e-02,0.0253781
2.0976e-02,0.0269469
2.1008e-02,0.0281813
2.1040e-02,0.0284281
2.1072e-02,0.0290469
2.1104e-02,0.0289406
2.1136e-02,0.0299844
2.1168e-02,0.03215
2.1200e-02,0.0340563
2.1232e-02,0.0343781
2.1264e-02,0.0355125
2.1296e-02,0.0362563
2.1328e-02,0.0388375
2.1360e-02,0.0398031
2.1392e-02,0.0411594
2.1424e-02,0.043
2.1456e-02,0.0444094
2.1488e-02,0.0468875
2.1520e-02,0.049075
2.1552e-02,0.0500531
2.1584e-02,0.0512313
2.1616e-02,0.0519344
2.1648e-02,0.0533625
2.1680e-02,0.0537656
2.1712e-02,0.0531719
2.1744e-02,0.0538969
2.1776e-02,0.0533844
2.1808e-02,0.0529375
2.1840e-02,0.0538656
2.1872e-02,0.0535813
2.1904e-02,0.0521063
2.1936e-02,0.0525563
2.1968e-02,0.051575
2.2000e-02,0.0498188
2.2032e-02,0.0477656
2.2064e-02,0.0454906
2.2096e-02,0.0436844
2.2128e-02,0.0423875
2.2160e-02,0.0407094
2.2192e-02,0.0398188
2.2224e-02,0.03795
2.2256e-02,0.0355281
2.2288e-02,0.034625
2.2320e-02,0.0325156
2.2352e-02,0.0304594
2.2384e-02,0.0293031
2.2416e-02,0.0278719
2.2448e-02,0.0267906
2.2480e-02,0.0265594
2.2512e-02,0.0264969
2.2544e-02,0.0260313
2.2576e-02,0.025425
2.2608e-02,0.0262719
2.2640e-02,0.0261969
2.2672e-02,0.0260625
2.2704e-02,0.0260906
2.2736e-02,0.0263313
2.2768e-02,0.0265938
2.2800e-02,0.0265781
2.2832e-02,0.0271531
2.2864e-02,0.0270094
2.2896e-02,0.0263281
2.2928e-02,0.0261719
2.2960e-02,0.0263875
2.2992e-02,0.0268969
2.3024e-02,0.0267688
2.3056e-02,0.0276156
2.3088e-02,0.0284625
2.3120e-02,0.0285781
2.3152e-02,0.0298469
2.3184e-02,0.0314125
2.3216e-02,0.0316844
2.3248e-02,0.0328906
2.3280e-02,0.033575
2.3312e-02,0.0339625
2.3344e-02,0.0353563
2.3376e-02,0.0382938
2.3408e-02,0.0388938
2.3440e-02,0.0405156
2.3472e-02,0.0435781
2.3504e-02,0.045825
2.3536e-02,0.0489031
2.3568e-02,0.0519938
2.3600e-02,0.0546719
2.3632e-02,0.0597063
2.3664e-02,0.0639063
2.3696e-02,0.0658969
2.3728e-02,0.0675969
2.3760e-02,0.0705781
2.3792e-02,0.0737
2.3824e-02,0.0782062
2.3856e-02,0.0809969
2.3888e-02,0.0855156
2.3920e-02,0.0889375
2.3952e-02,0.0915906
2.3984e-02,0.0943594
2.4016e-02,0.097975
2.4048e-02,0.102366
2.4080e-02,0.104716
2.4112e-02,0.105087
2.4144e-02,0.104919
2.4176e-02,0.106716
2.4208e-02,0.106256
2.4240e-02,0.107906
2.4272e-02,0.109228
2.4304e-02,0.109459
2.4336e-02,0.107916
2.4368e-02,0.106656
2.4400e-02,0.105687
2.4432e-02,0.104722
2.4464e-02,0.101403
2.4496e-02,0.0980062
2.4528e-02,0.0948
2.4560e-02,0.0919375
2.4592e-02,0.0872375
2.4624e-02,0.0826937
2.4656e-02,0.0769125
2.4688e-02,0.0722594
2.4720e-02,0.066075
2.4752e-02,0.0588344
2.4784e-02,0.0530781
2.4816e-02,0.0496188
2.4848e-02,0.0457188
2.4880e-02,0.0414688
2.4912e-02,0.0369281
2.4944e-02,0.0332438
2.4976e-02,0.0299875
2.5008e-02,0.0268281
2.5040e-02,0.0250031
2.5072e-02,0.0229656
