Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
2.0208e-02,0.0308531
2.0240e-02,0.0314656
2.0272e-02,0.0315312
2.0304e-02,0.0322656
2.0336e-02,0.0326062
2.0368e-02,0.0331562
2.0400e-02,0.0317906
2.0432e-02,0.0302469
2.0464e-02,0.0295094
2.0496e-02,0.0303031
2.0528e-02,0.0306094
2.0560e-02,0.0299719
2.0592e-02,0.029
2.0624e-02,0.0281719
2.0656e-02,0.0296406
2.0688e-02,0.0298031
2.0720e-02,0.0302594
2.0752e-02,0.0299687
2.0784e-02,0.0297062
2.0816e-02,0.0289875
2.0848e-02,0.029775
2.0880e-02,0.0297531
2.0912e-02,0.0302937
2.0944e-02,0.0308094
2.0976e-02,0.0310437
2.1008e-02,0.0301187
2.1040e-02,0.0299719
2.1072e-02,0.0294719
2.1104e-02,0.0299469
2.1136e-02,0.0303969
2.1168e-02,0.0302781
2.1200e-02,0.0300469
2.1232e-02,0.0295719
2.1264e-02,0.0293
2.1296e-02,0.0290344
2.1328e-02,0.0289062
2.1360e-02,0.0288406
2.1392e-02,0.0288531
2.1424e-02,0.0292344
2.1456e-02,0.029825
2.1488e-02,0.0289125
2.1520e-02,0.0283062
2.1552e-02,0.0292437
2.1584e-02,0.0308656
2.1616e-02,0.031025
2.1648e-02,0.03055
2.1680e-02,0.0299031
2.1712e-02,0.0303281
2.1744e-02,0.0307
2.1776e-02,0.0322156
2.1808e-02,0.0315156
2.1840e-02,0.0309781
2.1872e-02,0.0305969
2.1904e-02,0.03075
2.1936e-02,0.0317219
2.1968e-02,0.0320531
2.2000e-02,0.0328437
2.2032e-02,0.0316875
2.2064e-02,0.0317
2.2096e-02,0.0320875
2.2128e-02,0.0317812
2.2160e-02,0.0311187
2.2192e-02,0.0306219
2.2224e-02,0.0305875
2.2256e-02,0.0302125
2.2288e-02,0.0301875
2.2320e-02,0.031475
2.2352e-02,0.0320281
2.2384e-02,0.0326219
2.2416e-02,0.0330062
2.2448e-02,0.0329844
2.2480e-02,0.0349937
2.2512e-02,0.0349719
2.2544e-02,0.0346406
2.2576e-02,0.0346531
2.2608e-02,0.0354594
2.2640e-02,0.0363094
2.2672e-02,0.0376625
2.2704e-02,0.0383187
2.2736e-02,0.0391594
2.2768e-02,0.0396469
2.2800e-02,0.0396312
2.2832e-02,0.0393594
2.2864e-02,0.0402312
2.2896e-02,0.0409062
2.2928e-02,0.0426875
2.2960e-02,0.0438687
2.2992e-02,0.044925
2.3024e-02,0.0437
2.3056e-02,0.0433469
2.3088e-02,0.0432187
2.3120e-02,0.0443031
2.3152e-02,0.0459062
2.3184e-02,0.0447937
2.3216e-02,0.0439875
2.3248e-02,0.0445719
2.3280e-02,0.0451875
2.3312e-02,0.0483969
2.3344e-02,0.0502687
2.3376e-02,0.0506312
2.3408e-02,0.0511531
2.3440e-02,0.0514406
2.3472e-02,0.0533844
2.3504e-02,0.0556562
2.3536e-02,0.0569219
2.3568e-02,0.0577875
2.3600e-02,0.0585562
2.3632e-02,0.0596781
2.3664e-02,0.0606937
2.3696e-02,0.0626281
