Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
2.0272e-02,0.0139375
2.0304e-02,0.0136563
2.0336e-02,0.014125
2.0368e-02,0.014125
2.0400e-02,0.0140938
2.0432e-02,0.0146875
2.0464e-02,0.014
2.0496e-02,0.0144375
2.0528e-02,0.0138438
2.0560e-02,0.014125
2.0592e-02,0.0140625
2.0624e-02,0.0134375
2.0656e-02,0.0128125
2.0688e-02,0.0126563
2.0720e-02,0.0130313
2.0752e-02,0.0133438
2.0784e-02,0.0138438
2.0816e-02,0.0135625
2.0848e-02,0.0140313
2.0880e-02,0.014
2.0912e-02,0.0141875
2.0944e-02,0.013875
2.0976e-02,0.0140313
2.1008e-02,0.0136875
2.1040e-02,0.0129688
2.1072e-02,0.0131875
2.1104e-02,0.0137188
2.1136e-02,0.0140938
2.1168e-02,0.0139688
2.1200e-02,0.0140313
2.1232e-02,0.0140313
2.1264e-02,0.013875
2.1296e-02,0.0142188
2.1328e-02,0.014375
2.1360e-02,0.0142188
2.1392e-02,0.0140938
2.1424e-02,0.0141875
2.1456e-02,0.0139375
2.1488e-02,0.0135
2.1520e-02,0.0140938
2.1552e-02,0.0139688
2.1584e-02,0.0137188
2.1616e-02,0.0134063
2.1648e-02,0.0138438
2.1680e-02,0.0136563
2.1712e-02,0.0135625
2.1744e-02,0.0137813
2.1776e-02,0.014
2.1808e-02,0.0142813
2.1840e-02,0.0148125
2.1872e-02,0.0149688
2.1904e-02,0.0144063
2.1936e-02,0.0140938
2.1968e-02,0.0144063
2.2000e-02,0.0140938
2.2032e-02,0.0140313
2.2064e-02,0.0144375
2.2096e-02,0.0145313
2.2128e-02,0.0144063
2.2160e-02,0.0141563
2.2192e-02,0.0141563
2.2224e-02,0.0143438
2.2256e-02,0.0153125
2.2288e-02,0.0148125
2.2320e-02,0.0135625
2.2352e-02,0.014
2.2384e-02,0.013875
2.2416e-02,0.0142813
2.2448e-02,0.0142813
2.2480e-02,0.01375
2.2512e-02,0.0140938
2.2544e-02,0.0141563
2.2576e-02,0.0140938
2.2608e-02,0.0140625
2.2640e-02,0.014125
2.2672e-02,0.0140938
2.2704e-02,0.014125
2.2736e-02,0.0141563
2.2768e-02,0.0147813
2.2800e-02,0.0139063
2.2832e-02,0.014125
2.2864e-02,0.014625
2.2896e-02,0.0145938
2.2928e-02,0.0141563
2.2960e-02,0.0144375
2.2992e-02,0.0140313
2.3024e-02,0.0140313
2.3056e-02,0.0140938
2.3088e-02,0.0144688
2.3120e-02,0.0144688
2.3152e-02,0.0139688
2.3184e-02,0.014
2.3216e-02,0.0138438
2.3248e-02,0.0142188
2.3280e-02,0.0152813
2.3312e-02,0.015625
2.3344e-02,0.0154688
2.3376e-02,0.0150313
2.3408e-02,0.0152813
2.3440e-02,0.0149688
2.3472e-02,0.0153438
2.3504e-02,0.014125
2.3536e-02,0.0141563
2.3568e-02,0.014375
2.3600e-02,0.0148438
2.3632e-02,0.0149375
2.3664e-02,0.0155938
2.3696e-02,0.01625
2.3728e-02,0.0153438
2.3760e-02,0.0153125
2.3792e-02,0.01525
2.3824e-02,0.0148125
2.3856e-02,0.0150313
2.3888e-02,0.0152188
2.3920e-02,0.0164688
2.3952e-02,0.015
2.3984e-02,0.0145313
2.4016e-02,0.0149063
2.4048e-02,0.0145625
2.4080e-02,0.01425
2.4112e-02,0.0145313
2.4144e-02,0.0144063
2.4176e-02,0.0146563
2.4208e-02,0.014625
2.4240e-02,0.0148125
2.4272e-02,0.0146563
2.4304e-02,0.0149688
2.4336e-02,0.0147813
2.4368e-02,0.015
2.4400e-02,0.0147813
2.4432e-02,0.0154063
2.4464e-02,0.0160938
2.4496e-02,0.0164375
2.4528e-02,0.0170313
2.4560e-02,0.01625
2.4592e-02,0.016625
2.4624e-02,0.0152813
2.4656e-02,0.0151875
2.4688e-02,0.0153438
2.4720e-02,0.015
2.4752e-02,0.0155313
2.4784e-02,0.016
2.4816e-02,0.015875
2.4848e-02,0.015625
2.4880e-02,0.0156875
2.4912e-02,0.0177813
2.4944e-02,0.017875
2.4976e-02,0.0173125
2.5008e-02,0.017625
2.5040e-02,0.0166563
2.5072e-02,0.016625
2.5104e-02,0.0177188
2.5136e-02,0.017875
2.5168e-02,0.0166563
2.5200e-02,0.0170938
2.5232e-02,0.0181563
2.5264e-02,0.0184375
2.5296e-02,0.0194688
2.5328e-02,0.0192813
2.5360e-02,0.0185625
2.5392e-02,0.0191563
2.5424e-02,0.019625
2.5456e-02,0.0198438
2.5488e-02,0.02125
2.5520e-02,0.021125
2.5552e-02,0.0214063
2.5584e-02,0.0215313
2.5616e-02,0.020625
2.5648e-02,0.0214375
2.5680e-02,0.0219688
2.5712e-02,0.0208125
2.5744e-02,0.0194063
2.5776e-02,0.0193438
2.5808e-02,0.0197813
2.5840e-02,0.0197813
2.5872e-02,0.0186875
2.5904e-02,0.0190313
2.5936e-02,0.019875
2.5968e-02,0.0204688
2.6000e-02,0.019625
2.6032e-02,0.0193125
2.6064e-02,0.0190938
2.6096e-02,0.0196563
2.6128e-02,0.019375
2.6160e-02,0.0196563
2.6192e-02,0.0191563
2.6224e-02,0.0194688
2.6256e-02,0.0195
2.6288e-02,0.020125
2.6320e-02,0.021
2.6352e-02,0.0202813
2.6384e-02,0.0204688
2.6416e-02,0.0199688
2.6448e-02,0.0209063
2.6480e-02,0.021375
2.6512e-02,0.021625
2.6544e-02,0.0214375
2.6576e-02,0.0219375
2.6608e-02,0.0220938
2.6640e-02,0.0219063
2.6672e-02,0.02225
2.6704e-02,0.0234688
2.6736e-02,0.0241563
2.6768e-02,0.0250625
2.6800e-02,0.0258438
2.6832e-02,0.0260625
2.6864e-02,0.0268125
2.6896e-02,0.0286563
2.6928e-02,0.0303125
2.6960e-02,0.0319688
2.6992e-02,0.0329688
2.7024e-02,0.0324375
2.7056e-02,0.0328125
2.7088e-02,0.0345625
2.7120e-02,0.03475
2.7152e-02,0.0364063
2.7184e-02,0.0380938
2.7216e-02,0.0407188
2.7248e-02,0.0424375
2.7280e-02,0.0440313
2.7312e-02,0.0476875
2.7344e-02,0.0500625
2.7376e-02,0.0501563
2.7408e-02,0.0510313
2.7440e-02,0.0514375
2.7472e-02,0.0544688
2.7504e-02,0.05825
2.7536e-02,0.0619688
2.7568e-02,0.0651563
2.7600e-02,0.0667188
2.7632e-02,0.0681563
2.7664e-02,0.0697188
2.7696e-02,0.0702813
2.7728e-02,0.0717813
2.7760e-02,0.0744063
2.7792e-02,0.0760625
2.7824e-02,0.0776563
2.7856e-02,0.0798125
2.7888e-02,0.0805313
2.7920e-02,0.0814688
2.7952e-02,0.080625
2.7984e-02,0.0810313
2.8016e-02,0.0816875
2.8048e-02,0.0825625
2.8080e-02,0.084875
2.8112e-02,0.0864688
2.8144e-02,0.0869063
2.8176e-02,0.0883125
2.8208e-02,0.0910938
2.8240e-02,0.0941875
2.8272e-02,0.0956875
2.8304e-02,0.0974063
2.8336e-02,0.102531
2.8368e-02,0.10725
2.8400e-02,0.112938
2.8432e-02,0.118875
2.8464e-02,0.123938
2.8496e-02,0.127125
2.8528e-02,0.128406
2.8560e-02,0.131438
2.8592e-02,0.138531
2.8624e-02,0.14575
2.8656e-02,0.151969
2.8688e-02,0.154469
2.8720e-02,0.160156
2.8752e-02,0.165031
2.8784e-02,0.171375
2.8816e-02,0.171531
2.8848e-02,0.168188
2.8880e-02,0.170531
2.8912e-02,0.17275
2.8944e-02,0.172344
2.8976e-02,0.16925
2.9008e-02,0.16625
2.9040e-02,0.16325
2.9072e-02,0.165938
2.9104e-02,0.167125
2.9136e-02,0.166563
2.9168e-02,0.16275
2.9200e-02,0.158813
2.9232e-02,0.154
2.9264e-02,0.148875
2.9296e-02,0.146281
2.9328e-02,0.147375
2.9360e-02,0.1495
2.9392e-02,0.152281
2.9424e-02,0.156844
2.9456e-02,0.158906
2.9488e-02,0.160844
2.9520e-02,0.163313
2.9552e-02,0.167469
2.9584e-02,0.174469
