Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
2.0240e-02,0.0574531
2.0272e-02,0.0553906
2.0304e-02,0.0537031
2.0336e-02,0.0533984
2.0368e-02,0.0535
2.0400e-02,0.0526641
2.0432e-02,0.0509922
2.0464e-02,0.0491953
2.0496e-02,0.0463047
2.0528e-02,0.0452344
2.0560e-02,0.0443438
2.0592e-02,0.0437734
2.0624e-02,0.0416484
2.0656e-02,0.0405234
2.0688e-02,0.0395313
2.0720e-02,0.0394922
2.0752e-02,0.0386016
2.0784e-02,0.0389766
2.0816e-02,0.0395
2.0848e-02,0.0401172
2.0880e-02,0.0397188
2.0912e-02,0.0398516
2.0944e-02,0.0399063
2.0976e-02,0.0409688
2.1008e-02,0.0430703
2.1040e-02,0.0442109
2.1072e-02,0.0452266
2.1104e-02,0.0466875
2.1136e-02,0.0475234
2.1168e-02,0.0481719
2.1200e-02,0.0489453
2.1232e-02,0.0507813
2.1264e-02,0.0516953
2.1296e-02,0.0518906
2.1328e-02,0.0525469
2.1360e-02,0.0540469
2.1392e-02,0.0563594
2.1424e-02,0.0573359
2.1456e-02,0.0592578
2.1488e-02,0.0606641
2.1520e-02,0.0635469
2.1552e-02,0.0665547
2.1584e-02,0.0689375
2.1616e-02,0.0702578
2.1648e-02,0.0709375
2.1680e-02,0.0743906
2.1712e-02,0.0789844
2.1744e-02,0.0796797
2.1776e-02,0.083375
2.1808e-02,0.0877969
2.1840e-02,0.0934688
2.1872e-02,0.0970938
2.1904e-02,0.101148
2.1936e-02,0.104578
2.1968e-02,0.107508
2.2000e-02,0.109758
2.2032e-02,0.113125
2.2064e-02,0.115992
2.2096e-02,0.120445
2.2128e-02,0.126016
2.2160e-02,0.128961
2.2192e-02,0.131719
2.2224e-02,0.133984
2.2256e-02,0.135117
2.2288e-02,0.136734
2.2320e-02,0.137633
2.2352e-02,0.140625
2.2384e-02,0.14175
2.2416e-02,0.140461
2.2448e-02,0.141445
2.2480e-02,0.141234
2.2512e-02,0.136898
2.2544e-02,0.133242
2.2576e-02,0.12882
2.2608e-02,0.124953
2.2640e-02,0.123305
2.2672e-02,0.118844
2.2704e-02,0.113859
2.2736e-02,0.107469
2.2768e-02,0.101109
2.2800e-02,0.0956953
2.2832e-02,0.0920625
2.2864e-02,0.08625
2.2896e-02,0.0806406
2.2928e-02,0.0767031
2.2960e-02,0.0752188
2.2992e-02,0.0725625
2.3024e-02,0.0695391
2.3056e-02,0.0668359
2.3088e-02,0.0666016
2.3120e-02,0.0647344
2.3152e-02,0.065125
2.3184e-02,0.0653984
2.3216e-02,0.0660391
2.3248e-02,0.068
2.3280e-02,0.0681406
2.3312e-02,0.0683125
2.3344e-02,0.0683438
2.3376e-02,0.0686797
2.3408e-02,0.0695859
2.3440e-02,0.0698203
2.3472e-02,0.0705938
2.3504e-02,0.0707734
2.3536e-02,0.0708906
2.3568e-02,0.0706484
2.3600e-02,0.0694609
2.3632e-02,0.0709844
2.3664e-02,0.0734531
2.3696e-02,0.0755781
2.3728e-02,0.0783047
2.3760e-02,0.080125
2.3792e-02,0.0810469
2.3824e-02,0.0827656
2.3856e-02,0.0875
2.3888e-02,0.0921172
2.3920e-02,0.0960391
2.3952e-02,0.10118
2.3984e-02,0.105109
2.4016e-02,0.109414
2.4048e-02,0.11482
2.4080e-02,0.121008
2.4112e-02,0.127641
2.4144e-02,0.131906
2.4176e-02,0.139789
2.4208e-02,0.148438
2.4240e-02,0.158711
2.4272e-02,0.170273
2.4304e-02,0.179594
2.4336e-02,0.189656
2.4368e-02,0.199656
2.4400e-02,0.209688
2.4432e-02,0.219445
2.4464e-02,0.228523
2.4496e-02,0.240914
2.4528e-02,0.252703
2.4560e-02,0.261664
2.4592e-02,0.267242
2.4624e-02,0.272602
2.4656e-02,0.276352
2.4688e-02,0.278844
2.4720e-02,0.28325
2.4752e-02,0.288953
2.4784e-02,0.293
2.4816e-02,0.292516
2.4848e-02,0.293625
2.4880e-02,0.294859
2.4912e-02,0.294148
2.4944e-02,0.293609
2.4976e-02,0.291336
2.5008e-02,0.287141
2.5040e-02,0.282836
2.5072e-02,0.279844
2.5104e-02,0.273148
2.5136e-02,0.265883
2.5168e-02,0.256813
2.5200e-02,0.248328
2.5232e-02,0.239234
2.5264e-02,0.228133
2.5296e-02,0.214586
2.5328e-02,0.199773
2.5360e-02,0.185625
2.5392e-02,0.174781
2.5424e-02,0.164719
2.5456e-02,0.152148
2.5488e-02,0.140367
2.5520e-02,0.128445
2.5552e-02,0.119383
2.5584e-02,0.111711
2.5616e-02,0.10407
2.5648e-02,0.0986094
2.5680e-02,0.0918672
2.5712e-02,0.0844141
2.5744e-02,0.0801016
2.5776e-02,0.0774297
2.5808e-02,0.0731328
2.5840e-02,0.0701016
2.5872e-02,0.0682266
2.5904e-02,0.0683906
2.5936e-02,0.0676953
2.5968e-02,0.0678828
2.6000e-02,0.0669141
2.6032e-02,0.0690547
2.6064e-02,0.0696719
2.6096e-02,0.0698125
2.6128e-02,0.0709219
2.6160e-02,0.0718438
2.6192e-02,0.0713281
2.6224e-02,0.0704375
2.6256e-02,0.0734375
2.6288e-02,0.0751797
2.6320e-02,0.0773281
2.6352e-02,0.0783438
2.6384e-02,0.0814531
2.6416e-02,0.0843984
2.6448e-02,0.0882656
2.6480e-02,0.09175
2.6512e-02,0.0968672
2.6544e-02,0.101258
2.6576e-02,0.105531
2.6608e-02,0.108516
2.6640e-02,0.113531
2.6672e-02,0.119211
2.6704e-02,0.125805
2.6736e-02,0.131906
2.6768e-02,0.138531
2.6800e-02,0.146758
2.6832e-02,0.155469
2.6864e-02,0.163625
2.6896e-02,0.172516
2.6928e-02,0.177867
2.6960e-02,0.184016
2.6992e-02,0.194305
2.7024e-02,0.202094
2.7056e-02,0.211188
2.7088e-02,0.220883
2.7120e-02,0.225023
2.7152e-02,0.228594
2.7184e-02,0.230625
2.7216e-02,0.236859
2.7248e-02,0.238703
2.7280e-02,0.23943
2.7312e-02,0.238391
2.7344e-02,0.234969
2.7376e-02,0.233133
2.7408e-02,0.23082
2.7440e-02,0.2255
2.7472e-02,0.220813
