Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3923,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.002,
Label,,
TIME,CH1,CH1 Peak Detect
-1.8871e+01,-0.00332,-0.00684
-1.8863e+01,-0.00332,0.00148
-1.8856e+01,-0.0034,-0.00852
-1.8848e+01,-0.003,-0.00036
-1.8840e+01,-0.00332,-0.00596
-1.8833e+01,-0.003,0.0026
-1.8825e+01,-0.00276,-0.00788
-1.8817e+01,-0.00324,0.00148
-1.8810e+01,-0.003,-0.0074
-1.8802e+01,-0.00348,0.001
-1.8794e+01,-0.00332,-0.00708
-1.8786e+01,-0.00284,0.00036
-1.8779e+01,-0.00308,-0.0054
-1.8771e+01,-0.0034,0.00036
-1.8763e+01,-0.00332,-0.00668
-1.8756e+01,-0.00324,0.00188
-1.8748e+01,-0.00332,-0.00788
-1.8740e+01,-0.00332,0.00084
-1.8733e+01,-0.00332,-0.0074
-1.8725e+01,-0.0034,-0.00196
-1.8717e+01,-0.00308,-0.0042
-1.8710e+01,-0.00324,-0.00028
-1.8702e+01,-0.00268,-0.00548
-1.8694e+01,-0.00276,0.0006
-1.8687e+01,-0.00284,-0.00644
-1.8679e+01,-0.003,0.00244
-1.8671e+01,-0.00292,-0.00812
-1.8664e+01,-0.00308,0.00212
-1.8656e+01,-0.00268,-0.00764
-1.8648e+01,-0.00268,0.00068
-1.8641e+01,-0.00236,-0.00572
-1.8633e+01,-0.00276,0.0022
-1.8625e+01,-0.0026,-0.0074
-1.8618e+01,-0.0026,0.00132
-1.8610e+01,-0.00268,-0.00684
-1.8602e+01,-0.00276,0.0014
-1.8594e+01,-0.0026,-0.00556
-1.8587e+01,-0.00292,0.00092
-1.8579e+01,-0.00236,-0.0054
-1.8571e+01,-0.00292,0.00252
-1.8564e+01,-0.00236,-0.00772
-1.8556e+01,-0.00228,0.00228
-1.8548e+01,-0.0026,-0.00716
-1.8541e+01,-0.00236,0.00052
-1.8533e+01,-0.00236,-0.00556
-1.8525e+01,-0.00212,0.00244
-1.8518e+01,-0.00268,-0.00748
-1.8510e+01,-0.00252,0.00068
-1.8502e+01,-0.00292,-0.00604
-1.8495e+01,-0.00244,0.00268
-1.8487e+01,-0.00236,-0.00748
-1.8479e+01,-0.0026,0.00084
-1.8472e+01,-0.00276,-0.0058
-1.8464e+01,-0.003,0.00044
-1.8456e+01,-0.00292,-0.00628
