Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3757,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Label,,
TIME,CH1,CH1 Peak Detect
-1.8848e+01,-0.0038,0.005
-1.8840e+01,-0.0034,-0.0114
-1.8833e+01,-0.0034,0.0062
-1.8825e+01,-0.003,-0.0142
-1.8817e+01,-0.003,0.005
-1.8810e+01,-0.0034,-0.0118
-1.8802e+01,-0.0034,0.0046
-1.8794e+01,-0.0034,-0.0122
-1.8786e+01,-0.0026,0.007
-1.8779e+01,-0.0038,-0.015
-1.8771e+01,-0.0034,0.0034
-1.8763e+01,-0.0042,-0.0106
-1.8756e+01,-0.003,0.0034
-1.8748e+01,-0.0046,-0.0098
-1.8740e+01,-0.0034,0.005
-1.8733e+01,-0.0026,-0.011
-1.8725e+01,-0.0026,0.0006
-1.8717e+01,-0.0026,-0.0066
-1.8710e+01,-0.0034,0.0042
-1.8702e+01,-0.003,-0.0102
-1.8694e+01,-0.003,0.0062
-1.8687e+01,-0.003,-0.0122
-1.8679e+01,-0.0026,0.0082
-1.8671e+01,-0.003,-0.015
-1.8664e+01,-0.003,0.0074
-1.8656e+01,-0.0022,-0.0126
-1.8648e+01,-0.0026,0.0062
-1.8641e+01,-0.0026,-0.0118
-1.8633e+01,-0.001,0.0058
-1.8625e+01,-0.0026,-0.011
-1.8618e+01,-0.003,0.007
-1.8610e+01,-0.0034,-0.0146
-1.8602e+01,-0.0022,0.0034
-1.8594e+01,-0.003,-0.009
-1.8587e+01,-0.0034,0.0098
-1.8579e+01,-0.0022,-0.0158
-1.8571e+01,-0.003,0.0054
-1.8564e+01,-0.003,-0.0118
-1.8556e+01,-0.003,0.0082
-1.8548e+01,-0.0022,-0.0134
-1.8541e+01,-0.0018,0.0094
-1.8533e+01,-0.0022,-0.0138
-1.8525e+01,-0.0026,0.0062
-1.8518e+01,-0.0026,-0.0114
-1.8510e+01,-0.0026,0.0066
-1.8502e+01,-0.0026,-0.0126
-1.8495e+01,-0.0026,0.0046
-1.8487e+01,-0.0026,-0.0094
-1.8479e+01,-0.0026,0.0058
-1.8472e+01,-0.0022,-0.0114
-1.8464e+01,-0.0038,0.009
-1.8456e+01,-0.003,-0.015
-1.8449e+01,-0.0034,0.0054
-1.8441e+01,-0.003,-0.0114
-1.8433e+01,-0.0042,0.0038
-1.8425e+01,-0.003,-0.0098
-1.8418e+01,-0.0038,0.007
-1.8410e+01,-0.0034,-0.0138
-1.8402e+01,-0.003,0.005
-1.8395e+01,-0.0034,-0.0118
-1.8387e+01,-0.003,0.0046
-1.8379e+01,-0.005,-0.0118
-1.8372e+01,-0.0034,0.0062
-1.8364e+01,-0.0034,-0.0122
-1.8356e+01,-0.0022,0.0046
-1.8349e+01,-0.0022,-0.0114
-1.8341e+01,-0.0034,0.0026
-1.8333e+01,-0.0038,-0.0082
-1.8326e+01,-0.0034,0.0082
-1.8318e+01,-0.0026,-0.0146
-1.8310e+01,-0.0026,0.0034
-1.8303e+01,-0.003,-0.0098
-1.8295e+01,-0.0042,0.0082
-1.8287e+01,-0.0042,-0.0146
-1.8280e+01,-0.0042,0.0074
-1.8272e+01,-0.0026,-0.015
-1.8264e+01,-0.0034,0.005
-1.8257e+01,-0.0026,-0.0122
-1.8249e+01,-0.003,0.0062
-1.8241e+01,-0.003,-0.013
-1.8233e+01,-0.003,0.0078
-1.8226e+01,-0.0022,-0.0154
-1.8218e+01,-0.003,0.005
-1.8210e+01,-0.0034,-0.0118
-1.8203e+01,-0.0038,0.0086
-1.8195e+01,-0.0034,-0.0158
-1.8187e+01,-0.0034,0.0046
-1.8180e+01,-0.0022,-0.0106
-1.8172e+01,-0.0026,0.0078
-1.8164e+01,-0.0038,-0.0146
-1.8157e+01,-0.0034,0.0034
-1.8149e+01,-0.0034,-0.0098
-1.8141e+01,-0.003,0.0002
-1.8134e+01,-0.0026,-0.0066
-1.8126e+01,-0.0034,0.0062
-1.8118e+01,-0.0034,-0.0122
-1.8111e+01,-0.005,0.0038
-1.8103e+01,-0.0046,-0.0114
-1.8095e+01,-0.003,0.0046
-1.8088e+01,-0.0034,-0.0126
-1.8080e+01,-0.0038,0.005
-1.8072e+01,-0.0046,-0.0114
-1.8065e+01,-0.005,0.0038
-1.8057e+01,-0.0026,-0.011
-1.8049e+01,-0.0038,0.0066
-1.8041e+01,-0.0034,-0.015
-1.8034e+01,-0.0034,0.0042
-1.8026e+01,-0.0042,-0.0122
-1.8018e+01,-0.0046,0.0042
-1.8011e+01,-0.0038,-0.0118
-1.8003e+01,-0.0034,0.0054
-1.7995e+01,-0.0026,-0.0138
-1.7988e+01,-0.0018,0.0046
-1.7980e+01,-0.0046,-0.0126
-1.7972e+01,-0.0034,0.0078
-1.7965e+01,-0.0046,-0.0162
-1.7957e+01,-0.0042,0.0038
-1.7949e+01,-0.0034,-0.0122
-1.7942e+01,-0.0034,0.0062
-1.7934e+01,-0.0042,-0.0146
-1.7926e+01,-0.0046,0.0026
-1.7919e+01,-0.0042,-0.0118
-1.7911e+01,-0.005,0.0042
-1.7903e+01,-0.003,-0.013
-1.7896e+01,-0.0038,0.0074
-1.7888e+01,-0.0046,-0.0162
-1.7880e+01,-0.0046,0.0066
-1.7873e+01,-0.0038,-0.015
-1.7865e+01,-0.003,0.0062
-1.7857e+01,-0.0042,-0.013
-1.7849e+01,-0.003,0.0038
-1.7842e+01,-0.003,-0.0106
-1.7834e+01,-0.0026,0.0042
-1.7826e+01,-0.0038,-0.0114
-1.7819e+01,-0.0034,0.0034
-1.7811e+01,-0.0038,-0.0106
-1.7803e+01,-0.0038,0.0046
-1.7796e+01,-0.0042,-0.0118
-1.7788e+01,-0.0042,0.005
-1.7780e+01,-0.0026,-0.0118
-1.7773e+01,-0.0022,0.0038
-1.7765e+01,-0.0026,-0.0118
-1.7757e+01,-0.0026,0.0038
-1.7750e+01,-0.0038,-0.0106
-1.7742e+01,-0.0046,0.005
-1.7734e+01,-0.003,-0.0114
-1.7727e+01,-0.0038,0.0074
-1.7719e+01,-0.0026,-0.0142
-1.7711e+01,-0.0038,0.0034
-1.7704e+01,-0.0042,-0.0114
-1.7696e+01,-0.0038,0.0038
-1.7688e+01,-0.0046,-0.0122
-1.7680e+01,-0.0034,0.003
-1.7673e+01,-0.0034,-0.0106
-1.7665e+01,-0.0034,0.0042
-1.7657e+01,-0.0042,-0.0126
-1.7650e+01,-0.0042,0.0038
-1.7642e+01,-0.0038,-0.0114
-1.7634e+01,-0.0034,0.0054
-1.7627e+01,-0.0034,-0.0134
-1.7619e+01,-0.0038,0.0066
-1.7611e+01,-0.0042,-0.015
-1.7604e+01,-0.0038,0.003
-1.7596e+01,-0.0042,-0.013
-1.7588e+01,-0.0034,0.0038
-1.7581e+01,-0.0038,-0.0114
-1.7573e+01,-0.0042,0.0042
-1.7565e+01,-0.0046,-0.0134
-1.7558e+01,-0.0042,0.0018
-1.7550e+01,-0.0042,-0.0114
-1.7542e+01,-0.005,0.0038
-1.7535e+01,-0.003,-0.0126
-1.7527e+01,-0.0042,0.0054
-1.7519e+01,-0.0038,-0.0122
-1.7512e+01,-0.0038,0.0058
-1.7504e+01,-0.0038,-0.0146
-1.7496e+01,-0.0034,0.005
-1.7488e+01,-0.0034,-0.0118
-1.7481e+01,-0.003,0.009
-1.7473e+01,-0.0038,-0.0166
-1.7465e+01,-0.0042,0.0034
-1.7458e+01,-0.0034,-0.0114
-1.7450e+01,-0.0038,0.0042
-1.7442e+01,-0.0042,-0.0122
-1.7435e+01,-0.0022,0.0038
-1.7427e+01,-0.0034,-0.0102
-1.7419e+01,-0.0042,0.0038
-1.7412e+01,-0.0038,-0.0122
-1.7404e+01,-0.0034,0.0034
-1.7396e+01,-0.003,-0.0102
-1.7389e+01,-0.0026,0.005
-1.7381e+01,-0.0042,-0.0122
-1.7373e+01,-0.0046,0.005
-1.7366e+01,-0.005,-0.0134
-1.7358e+01,-0.0042,0.0022
-1.7350e+01,-0.0038,-0.0082
-1.7343e+01,-0.0034,0.0038
-1.7335e+01,-0.0042,-0.0122
-1.7327e+01,-0.0054,0.0058
-1.7320e+01,-0.0046,-0.0146
-1.7312e+01,-0.005,0.0034
-1.7304e+01,-0.0038,-0.0126
-1.7296e+01,-0.0034,0.0042
-1.7289e+01,-0.0042,-0.0106
-1.7281e+01,-0.0046,0.0006
-1.7273e+01,-0.0034,-0.0086
-1.7266e+01,-0.0038,0.0026
-1.7258e+01,-0.0038,-0.0102
-1.7250e+01,-0.0034,0.005
-1.7243e+01,-0.0046,-0.0122
-1.7235e+01,-0.005,0.0058
-1.7227e+01,-0.0042,-0.0138
-1.7220e+01,-0.0034,0.007
-1.7212e+01,-0.0042,-0.0142
-1.7204e+01,-0.0022,0.009
-1.7197e+01,-0.0038,-0.0174
-1.7189e+01,-0.0046,0.0062
-1.7181e+01,-0.0034,-0.0146
-1.7174e+01,-0.0034,-0.0002
-1.7166e+01,-0.0038,-0.007
-1.7158e+01,-0.003,0.0046
-1.7151e+01,-0.0034,-0.0126
-1.7143e+01,-0.0038,0.0074
-1.7135e+01,-0.0038,-0.015
-1.7127e+01,-0.0034,0.0062
-1.7120e+01,-0.003,-0.0134
-1.7112e+01,-0.0038,0.005
-1.7104e+01,-0.0038,-0.0126
-1.7097e+01,-0.0042,0.003
-1.7089e+01,-0.0042,-0.0122
-1.7081e+01,-0.0038,0.0062
-1.7074e+01,-0.0034,-0.015
-1.7066e+01,-0.0038,0.0058
-1.7058e+01,-0.0042,-0.015
-1.7051e+01,-0.0046,0.0054
-1.7043e+01,-0.005,-0.0142
-1.7035e+01,-0.0046,0.0038
-1.7028e+01,-0.0038,-0.013
-1.7020e+01,-0.0046,0.0062
-1.7012e+01,-0.0054,-0.015
-1.7005e+01,-0.005,0.0062
-1.6997e+01,-0.0046,-0.0134
-1.6989e+01,-0.0042,0.003
-1.6982e+01,-0.0034,-0.0126
-1.6974e+01,-0.0046,0.0006
-1.6966e+01,-0.0046,-0.0094
-1.6959e+01,-0.0038,0.0066
-1.6951e+01,-0.0046,-0.0158
-1.6943e+01,-0.0046,0.0034
-1.6935e+01,-0.0042,-0.0138
-1.6928e+01,-0.005,0.0042
-1.6920e+01,-0.0038,-0.0142
-1.6912e+01,-0.0046,0.0034
-1.6905e+01,-0.0042,-0.013
-1.6897e+01,-0.0046,0.0026
-1.6889e+01,-0.0042,-0.0118
-1.6882e+01,-0.0046,0.0058
-1.6874e+01,-0.0042,-0.015
-1.6866e+01,-0.005,0.007
-1.6859e+01,-0.0046,-0.015
-1.6851e+01,-0.0054,0.005
-1.6843e+01,-0.0034,-0.013
-1.6836e+01,-0.0038,0.0034
-1.6828e+01,-0.0042,-0.0118
-1.6820e+01,-0.005,0.0058
-1.6813e+01,-0.005,-0.013
-1.6805e+01,-0.0042,0.0066
-1.6797e+01,-0.0034,-0.0142
-1.6790e+01,-0.0046,0.007
-1.6782e+01,-0.0042,-0.0162
-1.6774e+01,-0.0058,-0.0014
-1.6767e+01,-0.005,-0.0082
-1.6759e+01,-0.0046,0.0074
-1.6751e+01,-0.0042,-0.0166
-1.6743e+01,-0.0046,0.0034
-1.6736e+01,-0.0046,-0.0126
-1.6728e+01,-0.005,0.0026
-1.6720e+01,-0.0046,-0.0118
-1.6713e+01,-0.0042,0.0022
-1.6705e+01,-0.0042,-0.0118
-1.6697e+01,-0.0054,0.0038
-1.6690e+01,-0.0042,-0.0122
-1.6682e+01,-0.0046,0.0062
-1.6674e+01,-0.0038,-0.0146
-1.6667e+01,-0.0042,0.0062
-1.6659e+01,-0.0038,-0.0154
-1.6651e+01,-0.0042,0.0038
-1.6644e+01,-0.0034,-0.013
-1.6636e+01,-0.0034,0.005
